resolution_km,nx,ny,n_dof,n_detached,elapsed_lin_cpu,elapsed_lin_gpu,elapsed_pt_cpu,elapsed_pt_gpu,pt_cpu_iterations,pt_gpu_iterations,pt_cpu_converged,pt_gpu_converged
32,190,190,27588,0,0.104076988,0.159747833,0.488734306,0.034826189,120,120,true,true
16,380,380,107656,2,0.496535793,0.553527485,6.327296341,0.089640654,200,200,true,true
8,761,761,424675,48,3.405465856,2.252576004,20.283348911,0.284459063,280,280,true,true
4,1522,1522,1711822,24,20.81858631,9.751406451,120.554520514,2.028771633,480,480,true,true
